MMCONO|MMDIVI|MMITNO|MMCFIS|MMIIPI|MMCIPI|MMXPI1|MMCPIS|MMRPIS|MMCOFI|MMXCCO|MMRCOF|MMXIMP|MMIORI|MMXSAT|MMRGDT|MMRGTM|MMLMDT|MMCHID|MMCHNO|MMEXIP|MMBICM|MMBCST|MMVPIS|MMVCOF|MMFCIN|MMGTIN|MMIMPA|MMEXOA|MMIMPE|MMUNMS|MMCOPI|MMXIPF|MMXICS|MMXITT|MMXSTP|MMXRSC|MMXIIC|MMLMTS
1||016MBX02|88073000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122541944
1||0177807670|90329091|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122541950
1||0177987030|84119100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122541956
1||0177987120|85232110|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541962
1||02-0511-0132|84254200|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541968
1||02-7813C0100|84254990|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541974
1||020017-0133-000|84719090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122541980
1||0205160620|73209000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541986
1||02076-20V100|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122541992
1||02076-20V101||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122541998
1||020P0015-1||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542005
1||0230390-202|85391090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542011
1||02891009|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542017
1||0292005310|84118100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542070
1||0292005400X|84111100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542076
1||0292005450|84118100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542083
1||0292510030|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542089
1||0292680460|73269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542095
1||0292687290|84119100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542102
1||0292697540|85444200|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542108
1||0292697900|88073000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542114
1||0292720920|73269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542120
1||0292720930||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542127
1||0292737280|85444200|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542133
1||0292810870|73030000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542139
1||0292860520|88073000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|EA|\N|\N|\N|\N|\N|\N|\N|1784122542146
1||0292861370|90268000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542152
1||0292868320|84133090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542158
1||0292917240|84119100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542164
1||0298005200|84118100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542170
1||0298117090|39269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542176
1||0298182530|94011090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542183
1||0298307500|84119100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542188
1||0298561370|73030000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542194
1||0298561690||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542200
1||0298700440|85311010|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542206
1||0298737650|73269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542212
1||0298750050|85443000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542219
1||0298910020|84831090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542225
1||030-21300|88071000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542231
1||0301510020||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542237
1||0301530040|84119100|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542243
1||0301540710|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542249
1||030245|88073000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PR|\N|\N|\N|\N|\N|\N|\N|1784122542256
1||031283||\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542262
1||032-0217-0022|85235190|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542268
1||0333767010|90211099|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542274
1||0390757360|85441990|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542281
1||03B8S|40169300|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542288
1||04-507-FB|82055900|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542294
1||0401272420|59090000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N||\N|\N|\N|\N|\N|\N|\N|1784122542300
1||0401277530|76082090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542306
1||0401287460|84149020|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542312
1||0401287650|88072000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|KG|\N|\N|\N|\N|\N|\N|\N|1784122542318
1||04299082|73269090|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|PC|\N|\N|\N|\N|\N|\N|\N|1784122542324
1||04358009|88073000|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|UN|\N|\N|\N|\N|\N|\N|\N|1784122542330
1||0443700010|90261019|\N|\N|\N||\N|\N||\N|\N|||20260323|212044|20260715||2|\N|3|\N|\N|\N|\N|\N|\N|\N|\N|CJ|\N|\N|\N|\N|\N|\N|\N|1784122542336
