tdcono|tddivi|tdidtr|tdmvxp|tdextp|tdmvxd|tdmbmd|tdtx15|tdtx40|tdtxid|tdrgdt|tdrgtm|tdlmdt|tdchno|tdchid
100||142|||C21|0196614660000DS|0196614660000DS|0196614660000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0237634510000DR|0237634510000DR|0237634510000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0237634510000DS|0237634510000DS|0237634510000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0244147160000DR|0244147160000DR|0244147160000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0244147160000DS|0244147160000DS|0244147160000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0267963670000DR|0267963670000DR|0267963670000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0267963670000DS|0267963670000DS|0267963670000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0315062020000DR|0315062020000DR|0315062020000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0315062020000DS|0315062020000DS|0315062020000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|031859650DR|031859650DR|031859650DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|031859650DS|031859650DS|031859650DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0320580130000DR|0320580130000DR|0320580130000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0320580130000DS|0320580130000DS|0320580130000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0347996840000DR|0347996840000DR|0347996840000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0347996840000DS|0347996840000DS|0347996840000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0351385100000DR|0351385100000DR|0351385100000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0351385100000DS|0351385100000DS|0351385100000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0353757570000DR|0353757570000DR|0353757570000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0353757570000DS|0353757570000DS|0353757570000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0356123450000DR|0356123450000DR|0356123450000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0356123450000DS|0356123450000DS|0356123450000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|038824876DR|038824876DR|038824876DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|038824876DS|038824876DS|038824876DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0403560600000DR|0403560600000DR|0403560600000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0403560600000DS|0403560600000DS|0403560600000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340001DR|0423707340001DR|0423707340001DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340001DS|0423707340001DS|0423707340001DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340002DR|0423707340002DR|0423707340002DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340002DS|0423707340002DS|0423707340002DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340004DR|0423707340004DR|0423707340004DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340004DS|0423707340004DS|0423707340004DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340006DR|0423707340006DR|0423707340006DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0423707340006DS|0423707340006DS|0423707340006DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0446280680000DR|0446280680000DR|0446280680000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0446280680000DS|0446280680000DS|0446280680000DS|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0517639690000DR|0517639690000DR|0517639690000DR|0|20260505|132135|20260505|1|SCOUGHLAN
100||142|||C21|0517639690000DS|0517639690000DS|0517639690000DS|0|20260505|132135|20260505|1|SCOUGHLAN
